"Active Ingredient (link to Specific Guidance)","URL","Type","Route","Dosage Form","RLD or RS Number","Date Recommended","psg filename"
"Sirolimus","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_213478.pdf","Draft","Topical","Gel","213478","02/16/2023","PSG_213478.pdf"
"Sirolimus","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_213312.pdf","Draft","Intravenous","Powder","213312","05/18/2023","PSG_213312.pdf"
"Sirolimus","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Sirolimus_oral tablet_021110_RV09-15.pdf","Draft","Oral","Tablet","021110","09/18/2015","Sirolimus_oral tablet_021110_RV09-15.pdf"
"Sitagliptin Phosphate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021995.pdf","Draft","Oral","Tablet","021995","10/30/2024","PSG_021995.pdf"
"Sodium Chloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019912.pdf","Draft","Inhalation","Aerosol, Metered","019912","02/17/2022","PSG_019912.pdf"
"Sodium Iodide I-131","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_016517.pdf","Draft","Oral","Capsule","016517","11/08/2021","PSG_016517.pdf"
"Sodium Iodide I123","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Sodium_Iodide_cap_18671_RC7-08.pdf","Draft","Oral","Capsule","018671","07/01/2008","Sodium_Iodide_cap_18671_RC7-08.pdf"
"Sodium Oxybate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_214755.pdf","Draft","Oral","Suspension, Extended Release","214755","05/16/2024","PSG_214755.pdf"
"Sodium Phenylbutyrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_214860.pdf","Draft","Oral","For Suspension","214860","02/15/2024","PSG_214860.pdf"
"Sodium Phenylbutyrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_216513.pdf","Draft","Oral","Pellets","216513","02/15/2024","PSG_216513.pdf"
"Sodium Phenylbutyrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020573.pdf","Draft","Oral","Powder","020573","10/30/2024","PSG_020573.pdf"
"Sodium Phenylbutyrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020572.pdf","Draft","Oral","Tablet","020572","10/30/2024","PSG_020572.pdf"
"Sodium Phenylbutyrate; Taurursodiol","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_216660.pdf","Draft","Oral","For Suspension","216660","10/30/2024","PSG_216660.pdf"
"Sodium Phosphate, Dibasic, Anhydrous; Sodium Phosphate, Monobasic, Monohydrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021892.pdf","Draft","Oral","Tablet","021892","11/17/2022","PSG_021892.pdf"
"Sodium Polystyrene Sulfonate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/SodiumPolystyreneSulfonatepowderoralrectal011287_RC03-15.pdf","Draft","Oral/Rectal","Powder","011287","03/06/2015","SodiumPolystyreneSulfonatepowderoralrectal011287_RC03-15.pdf"
"Sodium Polystyrene Sulfonate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_087859.pdf","Draft","Oral, Rectal","Suspension","087859","08/28/2020","PSG_087859.pdf"
"Sodium Zirconium Cyclosilicate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_207078.pdf","Draft","Oral","For Suspension","207078","08/20/2021","PSG_207078.pdf"
"Sofosbuvir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_204671.pdf","Draft","Oral","Tablet","204671","10/30/2024","PSG_204671.pdf"
"Sofosbuvir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_212480.pdf","Draft","Oral","Pellets","212480","03/24/2021","PSG_212480.pdf"
"Sofosbuvir; Velpatasvir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Sofosbuvir; velpatasir_oral tablet_RLD 208341_RC03-17.pdf","Draft","Oral","Tablet","208341","05/16/2017","Sofosbuvir; velpatasir_oral tablet_RLD 208341_RC03-17.pdf"
"Sofosbuvir; Velpatasvir; Voxilaprevir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Sofosbuvir Velpatasvir Voxilaprevir Oral Tablets NDA 209195 RC 09-2018.pdf","Draft","Oral","Tablet","209195","09/13/2018","Sofosbuvir Velpatasvir Voxilaprevir Oral Tablets NDA 209195 RC 09-2018.pdf"
"Solifenacin Succinate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209529.pdf","Draft","Oral","Suspension","209529","05/19/2022","PSG_209529.pdf"
"Solifenacin Succinate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021518.pdf","Draft","Oral","Tablet","021518","10/30/2024","PSG_021518.pdf"
"Solriamfetol Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_211230.pdf","Draft","Oral","Tablet","211230","10/30/2024","PSG_211230.pdf"
"Sonidegib Phosphate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Sonidegib phosphate_oral capsule_RLD 205266_RC04-16.pdf","Draft","Oral","Capsule","205266","04/14/2016","Sonidegib phosphate_oral capsule_RLD 205266_RC04-16.pdf"
"Sorafenib Tosylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Sorafenib_Tabs_21923_RC10-11.pdf","Draft","Oral","Tablet","021923","06/14/2012","Sorafenib_Tabs_21923_RC10-11.pdf"
"Sotagliflozin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_216203.pdf","Draft","Oral","Tablet","216203","08/22/2024","PSG_216203.pdf"
"Sotalol Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019865.pdf","Draft","Oral","Tablet","019865","10/30/2024","PSG_019865.pdf"
"Sotalol Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021151.pdf","Draft","Oral","Tablet","021151","10/30/2024","PSG_021151.pdf"
"Sotorasib","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_214665.pdf","Draft","Oral","Tablet","214665","10/30/2024","PSG_214665.pdf"
"Soybean Oil","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017643.pdf","Draft","Injection","Injectable","017643                                                       018449                                                       020248                                                       019531                                                       019942","11/16/2023","PSG_017643.pdf"
"Sparsentan","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_216403.pdf","Draft","Oral","Tablet","216403","10/30/2024","PSG_216403.pdf"
"Spinosad","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022408.pdf","Draft","Topical","Suspension","022408","10/21/2022","PSG_022408.pdf"
"Spironolactone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_012151.pdf","Draft","Oral","Tablet","012151","10/30/2024","PSG_012151.pdf"
"Spironolactone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209478.pdf","Draft","Oral","Suspension","209478","10/30/2024","PSG_209478.pdf"
"Stavudine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020412.pdf","Draft","Oral","Capsule","020412","10/30/2024","PSG_020412.pdf"
"Stiripentol","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_206709.pdf","Draft","Oral","Capsule","206709","10/30/2024","PSG_206709.pdf"
"Stiripentol","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_207223.pdf","Draft","Oral","For Suspension","207223","10/30/2024","PSG_207223.pdf"
"Succimer","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019998.pdf","Draft","Oral","Capsule","019998","10/30/2024","PSG_019998.pdf"
"Sucralfate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019183.pdf","Draft","Oral","Suspension","019183","02/16/2023","PSG_019183.pdf"
"Sucralfate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018333.pdf","Draft","Oral","Tablet","018333","02/16/2023","PSG_018333.pdf"
"Sufentanil Citrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209128.pdf","Draft","Sublingual","Tablet","209128","08/20/2021","PSG_209128.pdf"
"Sulfacetamide Sodium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019931.pdf","Draft","Topical","Lotion","019931","11/21/2019","PSG_019931.pdf"
"Sulfadiazine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_004122.pdf","Draft","Oral","Tablet","040091                                                       004122","10/30/2024","PSG_004122.pdf"
"Sulfamethoxazole; Trimethoprim","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017377.pdf","Draft","Oral","Tablet","017377","10/30/2024","PSG_017377.pdf"
"Sulfamethoxazole;Trimethoprim","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017560.pdf","Draft","Oral","Suspension","077612                                                       017560","10/30/2024","PSG_017560.pdf"
"Sulfasalazine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Sulfasalazine_DRtab_07073_RC2-10.pdf","Draft","Oral","Tablet, Delayed Release","007073","02/25/2010","Sulfasalazine_DRtab_07073_RC2-10.pdf"
"Sulfasalazine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Sulfasalazine_tab_07073_RC2-10.pdf","Draft","Oral","Tablet","007073","02/25/2010","Sulfasalazine_tab_07073_RC2-10.pdf"
"Sulfur Hexafluoride Lipid Type A Microspheres","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Sulfur hexafluoridelipid Type-A microspheresuspension 203684RC 09-2018.pdf","Draft","Intravenous","Suspension","203684","09/13/2018","Sulfur hexafluoridelipid Type-A microspheresuspension 203684RC 09-2018.pdf"
"Sumatriptan","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210884.pdf","Draft","Nasal","Spray","210884","08/28/2020","PSG_210884.pdf"
"Sumatriptan","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Sumatriptan_Nasal spray_NDA 020626_RV Nov 2018.pdf","Draft","Nasal","Spray","020626","11/28/2018","Sumatriptan_Nasal spray_NDA 020626_RV Nov 2018.pdf"
"Sumatriptan Succinate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020132.pdf","Draft","Oral","Tablet","020132","10/30/2024","PSG_020132.pdf"
"Sumatriptan Succinate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020080-Autoinj.pdf","Draft","Subcutaneous","Injectable, Autoinjector","020080","11/17/2022","PSG_020080-Autoinj.pdf"
"Sumatriptan Succinate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020080-Vial.pdf","Draft","Subcutaneous","Injectable, Vial","020080","11/17/2022","PSG_020080-Vial.pdf"
"Sumatriptan Succinate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_206099.pdf","Draft","Nasal","Powder","206099","03/02/2020","PSG_206099.pdf"
"Sunitinib Malate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Sunitinib_Malate_caps_21938_RC04-10.pdf","Draft","Oral","Capsule","021938","04/20/2010","Sunitinib_Malate_caps_21938_RC04-10.pdf"
"Suvorexant","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Suvorexant_oral tablet_204569_RC09-15.pdf","Draft","Oral","Tablet","204569","09/18/2015","Suvorexant_oral tablet_204569_RC09-15.pdf"
"Tacrolimus","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_206406.pdf","Draft","Oral","Tablet, Extended Release","206406","08/22/2024","PSG_206406.pdf"
"Tacrolimus","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050777.pdf","Draft","Topical","Ointment","050777","11/19/2024","PSG_050777.pdf"
"Tacrolimus","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Tacrolimus_ERcap_204096_RC07-14.pdf","Draft","Oral","Capsule, Extended Release","204096","07/22/2014","Tacrolimus_ERcap_204096_RC07-14.pdf"
"Tacrolimus","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Tacrolimus_cap_50708_RV12-12.pdf","Draft","Oral","Capsule","050708","12/14/2012","Tacrolimus_cap_50708_RV12-12.pdf"
"Tacrolimus","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210115.pdf","Draft","Oral","For Suspension","210115","08/02/2022","PSG_210115.pdf"
"Tadalafil","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021368.pdf","Draft","Oral","Tablet","021368                                                       022332","10/30/2024","PSG_021368.pdf"
"Tafamidis","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_212161.pdf","Draft","Oral","Capsule","212161","11/18/2020","PSG_212161.pdf"
"Tafamidis Meglumine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_211996.pdf","Draft","Oral","Capsule","211996","11/18/2020","PSG_211996.pdf"
"Tafenoquine Succinate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210795.pdf","Draft","Oral","Tablet","210795","10/30/2024","PSG_210795.pdf"
"Tafenoquine Succinate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210607.pdf","Draft","Oral","Tablet","210607","10/30/2024","PSG_210607.pdf"
"Tafluprost","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202514.pdf","Draft","Ophthalmic","Solution, Drops","202514","08/22/2024","PSG_202514.pdf"
"Talazoparib Tosylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_211651.pdf","Draft","Oral","Capsule","211651","06/03/2020","PSG_211651.pdf"
"Talc","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_205555.pdf","Draft","Intrapleural","Powder","205555","08/28/2020","PSG_205555.pdf"
"Talc","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Talc intrapleural aerosol NDA 020587 RC 09-2018.pdf","Draft","Inhalation","Aerosol, Metered","020587","09/13/2018","Talc intrapleural aerosol NDA 020587 RC 09-2018.pdf"
"Tamoxifen Citrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017970.pdf","Draft","Oral","Tablet","017970","10/30/2024","PSG_017970.pdf"
"Tamsulosin Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/ucm090564.pdf","Final","Oral","Capsule","020579","05/12/2008","ucm090564.pdf"
"Tapentadol Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_200533.pdf","Draft","Oral","Tablet, Extended Release","200533","08/22/2024","PSG_200533.pdf"
"Tapentadol Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022304.pdf","Draft","Oral","Tablet","022304","10/30/2024","PSG_022304.pdf"
"Tapinarof","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_215272.pdf","Draft","Topical","Cream","215272","11/16/2023","PSG_215272.pdf"
"Tasimelteon","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Tasimelteon_oral capsule_205677_RC09-15.pdf","Draft","Oral","Capsule","205677","09/18/2015","Tasimelteon_oral capsule_205677_RC09-15.pdf"
"Tasimelteon","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_214517.pdf","Draft","Oral","Suspension","214517","10/30/2024","PSG_214517.pdf"
"Tavaborole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Tavaborole topical solution NDA 204427 RC 09-2018.pdf","Draft","Topical","Solution","204427","09/13/2018","Tavaborole topical solution NDA 204427 RC 09-2018.pdf"
"Tazarotene","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202428.pdf","Draft","Topical","Aerosol, Foam","202428","11/21/2019","PSG_202428.pdf"
"Tazarotene","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020600-Gel-0.05P.pdf","Draft","Topical","Gel  0.05%","020600","10/21/2022","PSG_020600-Gel-0.05P.pdf"
"Tazarotene","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021184-Cre-0.1P.pdf","Draft","Topical","Cream  0.1%","021184","10/21/2022","PSG_021184-Cre-0.1P.pdf"
"Tazarotene","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020600-Gel-0.1P.pdf","Draft","Topical","Gel  0.1%","020600","10/21/2022","PSG_020600-Gel-0.1P.pdf"
"Tazarotene","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_211882.pdf","Draft","Topical","Lotion","211882","10/21/2022","PSG_211882.pdf"
"Tazarotene","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021184-Cre-0.05P.pdf","Draft","Topical","Cream  0.05%","021184","11/19/2024","PSG_021184-Cre-0.05P.pdf"
"Tazemetostat Hydrobromide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_211723.pdf","Draft","Oral","Tablet","211723","08/20/2021","PSG_211723.pdf"
"Technetium Tc-99m Sodium Pertechnetate Generator","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202158.pdf","Draft","Intravenous, Intravesicular, Ophthalmic","Solution","202158","08/02/2022","PSG_202158.pdf"
"Tecovirimat","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_208627.pdf","Draft","Oral","Capsule","208627","10/30/2024","PSG_208627.pdf"
"Tedizolid Phosphate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_205435.pdf","Draft","Oral","Tablet","205435","10/30/2024","PSG_205435.pdf"
"Tegaserod Maleate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021200.pdf","Draft","Oral","Tablet","021200","05/19/2022","PSG_021200.pdf"
"Telaprevir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Telaprevir_tab_201917_RC09-12.pdf","Draft","Oral","Tablet","201917","09/19/2012","Telaprevir_tab_201917_RC09-12.pdf"
"Telbivudine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022011.pdf","Draft","Oral","Tablet","022011","10/30/2024","PSG_022011.pdf"
"Telithromycin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021144.pdf","Draft","Oral","Tablet","021144","10/30/2024","PSG_021144.pdf"
"Telmisartan","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Telmisartan_tabs_20850_RC5-08.pdf","Draft","Oral","Tablet","020850","10/22/2010","Telmisartan_tabs_20850_RC5-08.pdf"
"Telotristat Etiprate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_208794.pdf","Draft","Oral","Tablet","208794","10/30/2024","PSG_208794.pdf"
"Temazepam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018163.pdf","Draft","Oral","Capsule","018163","10/30/2024","PSG_018163.pdf"
"Temozolomide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Temozolomide_cap_21029_RC12-08.pdf","Draft","Oral","Capsule","021029","07/01/2009","Temozolomide_cap_21029_RC12-08.pdf"
"Tenapanor Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_211801.pdf","Draft","Oral","Tablet","211801","11/08/2021","PSG_211801.pdf"
"Tenofovir Alafenamide Fumarate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_208464.pdf","Draft","Oral","Tablet","208464","10/30/2024","PSG_208464.pdf"
"Tenofovir Disoproxil Fumarate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022577.pdf","Draft","Oral","Powder","022577","10/30/2024","PSG_022577.pdf"
"Tenofovir Disoproxil Fumarate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021356.pdf","Draft","Oral","Tablet","021356","10/30/2024","PSG_021356.pdf"
"Tepotinib Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_214096.pdf","Draft","Oral","Tablet","214096","10/30/2024","PSG_214096.pdf"
"Terazosin Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020347.pdf","Draft","Oral","Capsule","020347","10/30/2024","PSG_020347.pdf"
"Terbinafine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Terbinafine Hydrochloride Topical Cream NDA 020980 RV Feb 2019.pdf","Draft","Topical","Cream","020980","02/22/2019","Terbinafine Hydrochloride Topical Cream NDA 020980 RV Feb 2019.pdf"
"Terbinafine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022071.pdf","Draft","Oral","Granule","022071","10/30/2024","PSG_022071.pdf"
"Terbinafine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020539.pdf","Draft","Oral","Tablet","020539","10/30/2024","PSG_020539.pdf"
"Terbutaline Sulfate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017849.pdf","Draft","Oral","Tablet","017849","10/30/2024","PSG_017849.pdf"
"Terconazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Terconazole_VagCrm_19579_RC2-10.pdf","Draft","Vaginal","Cream","019579","02/25/2010","Terconazole_VagCrm_19579_RC2-10.pdf"
"Terconazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Terconazole_VagCrm_19964_RC2-10.pdf","Draft","Vaginal","Cream","019964","02/25/2010","Terconazole_VagCrm_19964_RC2-10.pdf"
"Terconazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Terconazole_VagSupp_19641_RC2-10.pdf","Draft","Vaginal","Suppository","019641","02/25/2010","Terconazole_VagSupp_19641_RC2-10.pdf"
"Teriflunomide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202992.pdf","Draft","Oral","Tablet","202992","10/30/2024","PSG_202992.pdf"
"Teriparatide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021318.pdf","Draft","Subcutaneous","Solution","021318","08/22/2024","PSG_021318.pdf"
"Terlipressin Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022231.pdf","Draft","Intravenous","Powder","022231","02/15/2024","PSG_022231.pdf"
"Testosterone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_205488.pdf","Draft","Nasal","Gel, Metered","205488","02/16/2023","PSG_205488.pdf"
"Testosterone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_080911.pdf","Draft","Implantation","Pellet","080911","05/05/2022","PSG_080911.pdf"
"Testosterone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Testosterone_gel_metered_transdermal_1_21015_RV11-13.pdf","Draft","Transdermal","Gel, Metered  1%","021015","11/05/2013","Testosterone_gel_metered_transdermal_1_21015_RV11-13.pdf"
"Testosterone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Testosterone_gel_metered_transdermal_1.62_22309_RV11-13.pdf","Draft","Transdermal","Gel, Metered","022309","11/05/2013","Testosterone_gel_metered_transdermal_1.62_22309_RV11-13.pdf"
"Testosterone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Testosterone_gel_metered_transdermal_10 mg 0.5 gm gel_21463_RC04-13.pdf","Draft","Transdermal","Gel, Metered","021463","04/05/2013","Testosterone_gel_metered_transdermal_10 mg 0.5 gm gel_21463_RC04-13.pdf"
"Testosterone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Testosterone_gel_transdermal_1_21015_RV11-13.pdf","Draft","Transdermal","Gel","021015","11/05/2013","Testosterone_gel_transdermal_1_21015_RV11-13.pdf"
"Testosterone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Testosterone_gel_transdermal_1_21454_RC04-13.pdf","Draft","Transdermal","Gel","021454","04/05/2013","Testosterone_gel_transdermal_1_21454_RC04-13.pdf"
"Testosterone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Testosterone_gel_transdermal_1.62_22309_RV11-13.pdf","Draft","Transdermal","Gel","022309","11/05/2013","Testosterone_gel_transdermal_1.62_22309_RV11-13.pdf"
"Testosterone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Testosterone_solution_22504_RC04-13.pdf","Draft","Transdermal","Solution, Metered","022504","04/05/2013","Testosterone_solution_22504_RC04-13.pdf"
"Testosterone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020489.pdf","Draft","Transdermal","Film, Extended Release","020489","11/21/2019","PSG_020489.pdf"
"Testosterone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Testosterone_ERbuccal_21543_RC10-06.pdf","Final","Buccal","Tablet, Extended Release","021543","05/12/2008","Testosterone_ERbuccal_21543_RC10-06.pdf"
"Testosterone Undecanoate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_213953.pdf","Draft","Oral","Capsule","213953","10/30/2024","PSG_213953.pdf"
"Testosterone Undecanoate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_206089.pdf","Draft","Oral","Capsule","206089","03/24/2021","PSG_206089.pdf"
"Tetrabenazine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021894.pdf","Draft","Oral","Tablet","021894","10/30/2024","PSG_021894.pdf"
"Tetracaine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_208135.pdf","Draft","Ophthalmic","Solution","208135","11/21/2019","PSG_208135.pdf"
"Tetracycline Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050278.pdf","Draft","Oral","Capsule","050278","10/30/2024","PSG_050278.pdf"
"Thalidomide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Thalidomide_cap_20785_21430_RV12-12.pdf","Draft","Oral","Capsule","020785","12/14/2012","Thalidomide_cap_20785_21430_RV12-12.pdf"
"Theophylline","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_085328.pdf","Draft","Oral","Tablet, Extended Release","090430                                                       086998                                                       085328","05/19/2022","PSG_085328.pdf"
"Theophylline","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_085328-TabER-600MG.pdf","Draft","Oral","Tablet, Extended Release  600 MG","040560","08/28/2020","PSG_085328-TabER-600MG.pdf"
"Theophylline","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_087942.pdf","Draft","Oral","Capsule, Extended Release","081034","08/28/2020","PSG_087942.pdf"
"Thioguanine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Thioguanine_Tabs_012429_RC09-12.pdf","Draft","Oral","Tablet","012429","09/19/2012","Thioguanine_Tabs_012429_RC09-12.pdf"
"Thioridazine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_011808.pdf","Draft","Oral","Tablet","011808","10/30/2024","PSG_011808.pdf"
"Thiothixene","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_016584.pdf","Draft","Oral","Capsule","016584","10/30/2024","PSG_016584.pdf"
"Tiagabine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020646.pdf","Draft","Oral","Tablet","020646","10/30/2024","PSG_020646.pdf"
"Ticagrelor","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022433.pdf","Draft","Oral","Tablet","022433","10/30/2024","PSG_022433.pdf"
"Ticlopidine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019979.pdf","Draft","Oral","Tablet","019979","10/30/2024","PSG_019979.pdf"
"Timolol Maleate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018017.pdf","Draft","Oral","Tablet","072668                                                       018017","10/30/2024","PSG_018017.pdf"
"Timolol Maleate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Timolol Maleate Ophthalmic Solution NDA 018086 PSG Page RC May 2019.pdf","Draft","Ophthalmic","Solution/Drops","018086","05/15/2019","Timolol Maleate Ophthalmic Solution NDA 018086 PSG Page RC May 2019.pdf"
"Timolol Maleate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020330.pdf","Draft","Ophthalmic","Solution, Gel Forming/Drops","020330","11/21/2019","PSG_020330.pdf"
